,Movie Name,Year of Release,Watch Time,Movie Rating,Meatscore of movie,Votes,Gross,Description
0,Nhà tù Shawshank,(1994),142 min,9.3,82        ,"2,734,583",$28.34M,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,Bố Già,(1972),175 min,9.2,100        ,"1,901,559",$134.97M,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
2,Kỵ Sĩ Bóng Đêm,(2008),152 min,9.0,84        ,"2,707,703",$534.86M,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
3,Bản Danh Sách Của Schindler,(1993),195 min,9.0,95        ,"1,380,530",$96.90M,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
4,Chúa Tể Của Những Chiếc Nhẫn: Sự Quay Trở Lại Của Nhà Vua,(2003),201 min,9.0,94        ,"1,880,968",$377.85M,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
5,12 Người Đàn Ông Giận Dữ,(1957),96 min,9.0,97        ,"809,269",$4.36M,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
6,Bố Già Phần II,(1974),202 min,9.0,90        ,"1,296,339",$57.30M,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
7,Chuyện Tào Lao,(1994),154 min,8.9,95        ,"2,101,381",$107.93M,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
8,Kẻ Đánh Cắp Giấc Mơ,(2010),148 min,8.8,74        ,"2,403,552",$292.58M,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
9,Sàn Đấu Sinh Tử,(1999),139 min,8.8,66        ,"2,177,168",$37.03M,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
10,Chúa Tể Của Những Chiếc Nhẫn: Những Người Bạn Của Nhẫn,(2001),178 min,8.8,92        ,"1,909,818",$315.54M,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
11,Cuộc Đời Forrest Gump,(1994),142 min,8.8,82        ,"2,127,917",$330.25M,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
12,"Thiện, Ác, Tà",(1966),161 min,8.8,90        ,"774,852",$6.10M,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
13,Chúa Tể Của Những Chiếc Nhẫn: Hai Tòa Tháp,(2002),179 min,8.8,87        ,"1,698,006",$342.55M,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
14,Jai Bhim,(2021),164 min,8.8,****,"206,113",#237,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
15,777 Charlie,(2022),164 min,8.8,****,"34,478",%^%^%^,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
16,Rocketry: The Nambi Effect,(2022),157 min,8.8,****,"52,829",%^%^%^,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
17,Ma Trận,(1999),136 min,8.7,73        ,"1,950,859",$171.48M,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
18,Chiến Hữu,(1990),145 min,8.7,92        ,"1,186,962",$46.84M,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
19,Bay Trên Tổ Chim Cúc Cu,(1975),133 min,8.7,84        ,"1,025,566",$112.00M,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
20,Chiến Tranh Giữa Các Vì Sao Tập 5: Đế Chế Phản Công,(1980),124 min,8.7,82        ,"1,316,364",$290.48M,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
21,Soorarai Pottru,(2020),153 min,8.7,****,"119,212",%^%^%^,"Nedumaaran Rajangam ""Maara"" sets out to make the common man fly and in the process takes on the world's most capital intensive industry and several enemies who stand in his way."
22,Hố Đen Tử Thần,(2014),169 min,8.6,74        ,"1,898,333",$188.02M,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
23,Sự Im Lặng Của Bầy Cừu,(1991),118 min,8.6,86        ,"1,462,246",$130.74M,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims."
24,7 Tội Lỗi Chết Người,(1995),127 min,8.6,65        ,"1,690,621",$100.13M,"Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives."
25,Chiến Tranh Giữa Các Vì Sao Tập 4: Niềm Hi Vọng Mới,(1977),121 min,8.6,90        ,"1,388,789",$322.74M,"Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader."
26,Dặm Xanh,(1999),189 min,8.6,61        ,"1,329,775",$136.80M,"The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift."
27,Vùng Đất Linh Hồn,(2001),125 min,8.6,96        ,"785,686",$10.06M,"During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches and spirits, a world where humans are changed into beasts."
28,Giải Cứu Binh Nhì Ryan,(1998),169 min,8.6,91        ,"1,418,601",$216.54M,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action."
29,Kẻ Hủy Diệt 2: Ngày Phán Xét,(1991),137 min,8.6,75        ,"1,119,471",$204.84M,"A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her 10-year old son John from an even more advanced and powerful cyborg."
30,Thành Phố Của Chúa,(2002),130 min,8.6,79        ,"768,705",$7.56M,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin."
31,Cuộc Sống Tươi Đẹp,(1997),116 min,8.6,59        ,"708,886",$57.60M,"When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor and imagination to protect his son from the dangers around their camp."
32,Bảy Võ Sĩ Đạo,(1954),207 min,8.6,98        ,"351,785",$0.27M,"Farmers from a village exploited by bandits hire a veteran samurai for protection, who gathers six other samurai to join him."
33,Cuộc Sống Tươi Đẹp,(1946),130 min,8.6,89        ,"470,745",#20,An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.
34,Seppuku,(1962),133 min,8.6,85        ,"60,499",#45,"When a ronin requesting seppuku at a feudal lord's palace is told of the brutal suicide of another ronin who previously visited, he reveals how their pasts are intertwined - and in doing so challenges the clan's integrity."
35,Sita Ramam,(2022),163 min,8.6,****,"59,023",%^%^%^,"An orphan soldier, Lieutenant Ram's life changes, after he gets a letter from a girl named Sita. He meets her and love blossoms between them. When he comes back to his camp in Kashmir,After he gets caught in jail, he sends a letter to Sita which won't reach her."
36,Quái Vật Không Gian,(1979),117 min,8.5,89        ,"900,251",$78.90M,The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.
37,Tay Trống Cự Phách,(2014),106 min,8.5,89        ,"898,616",$13.09M,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.
38,Võ Sĩ Giác Đấu,(2000),155 min,8.5,67        ,"1,530,560",$187.71M,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.
39,Ký Sinh Trùng,(2019),132 min,8.5,96        ,"847,507",$53.37M,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.
40,Trở Về Tương Lai,(1985),116 min,8.5,87        ,"1,233,342",$210.61M,"Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown."
41,Điệp Vụ Boston,(2006),151 min,8.5,85        ,"1,351,373",$132.38M,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.
42,Ảo Thuật Gia Đấu Trí,(2006),130 min,8.5,66        ,"1,359,690",$53.09M,"After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other."
43,Léon: Sát Thủ Chuyên Nghiệp,(1994),110 min,8.5,64        ,"1,184,838",$19.50M,"12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade."
44,Vua Sư Tử,(1994),88 min,8.5,88        ,"1,080,966",$422.78M,"Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself."
45,Lời Sấm Truyền,(1979),147 min,8.5,94        ,"680,173",$83.47M,A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.
46,Nghệ Sĩ Dương Cầm,(2002),150 min,8.5,85        ,"852,321",$32.57M,A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.
47,Tâm Thần Hoảng Loạn,(1960),109 min,8.5,97        ,"685,251",$32.00M,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run and checks into a remote motel run by a young man under the domination of his mother."
48,Nghi Phạm Vô Hình,(1995),106 min,8.5,77        ,"1,101,520",$23.34M,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup."
49,Chuyện Tình Thế Chiến,(1942),102 min,8.5,100        ,"581,820",$1.02M,A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.
50,Lịch Sử Mĩ Thế Kỉ X,(1998),119 min,8.5,62        ,"1,140,266",$6.72M,A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.
51,Những Kẻ Bên Lề,(2011),112 min,8.5,57        ,"878,214",$13.18M,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver."
52,Thưở Ấy Miền Viễn Tây,(1968),165 min,8.5,82        ,"336,111",$5.32M,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.
53,Mộ Đom Đóm,(1988),89 min,8.5,94        ,"285,865",#44,A young boy and his little sister struggle to survive in Japan during World War II.
54,Rạp Chiếu Bóng Thiên Đường,(1988),155 min,8.5,80        ,"267,404",$11.99M,A filmmaker recalls his childhood when falling in love with the pictures at the cinema of his home village and forms a deep friendship with the cinema's projectionist.
55,Vụ Án Mạng Nhà Bên,(1954),112 min,8.5,100        ,"500,460",$36.76M,"A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend."
56,Thời Hiện Đại,(1936),87 min,8.5,96        ,"247,525",$0.16M,The Tramp struggles to live in modern industrial society with the help of a young homeless woman.
57,Kaithi,(2019),145 min,8.5,****,"35,712",%^%^%^,"Dilli, an ex-convict, endeavours to meet his daughter for the first time after leaving prison. However, his attempts are interrupted due to a drug raid planned by Inspector Bejoy."
58,Ánh Sáng Đô Thị,(1931),87 min,8.5,99        ,"188,035",$0.02M,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically."
59,96,(II) (2018),158 min,8.5,****,"32,978",%^%^%^,Two high school sweethearts meet at a reunion after 22 years and reminisce about their past.
60,Avengers: Hồi Kết,(2019),181 min,8.4,78        ,"1,171,881",$858.37M,"After the devastating events of Avengers: Cuộc Chiến Vô Cực (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe."
61,Joker,(I) (2019),122 min,8.4,59        ,"1,344,777",$335.45M,"The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution."
