,Movie Name,Year of Release,Watch Time (min),Genre,Movie Rating,Metascore,Votes,Gross ($M),Description
0,The Shawshank Redemption,1994,142,Drama            ,9.3,82        ,2734899,28.34,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,The Godfather,1972,175,Crime,9.2,100        ,1901837,134.97,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
2,The Chaos Class,1975,87,Comedy,9.2,,41631,,"Lazy, uneducated students share a very close bond. They live together in the dormitory, where they plan their latest pranks. When a new headmaster arrives, the students naturally try to overthrow him. A comic war of nitwits follows."
3,Daman,2022,121,Adventure,9.1,,13199,,"The film is set in 2015. Sid, is a young doctor who completed his MBBS has been posted to the cut-off area of Malkangiri district Odisha having 151 villages & infamous for Naxals dominance & no basic facilities. It's a real life tale of perseverance & dedication."
4,The Dark Knight,2008,152,Action,9.0,84        ,2708063,534.86,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
5,Schindler's List,1993,195,Biography,9.0,95        ,1380679,96.90,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
6,The Lord of the Rings: The Return of the King,2003,201,Action,9.0,94        ,1881159,377.85,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
7,12 Angry Men,1957,96,Crime,9.0,97        ,809379,4.36,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
8,The Godfather Part II,1974,202,Crime,9.0,90        ,1296523,57.30,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
9,Mirror Game,2016,147,Crime,9.0,,27492,,Ayna is an actor and the prison is his stage. He slips into the characters of the powerful convicted in exchange of money and take their place in prison. This strange profession is borne ...                See full summary »
10,Pulp Fiction,1994,154,Crime,8.9,95        ,2101648,107.93,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
11,Demon Slayer: Kimetsu no Yaiba - Tsuzumi Mansion Arc,2021,87,Animation,8.9,,17765,,Tanjiro ventures to the south-southeast where he encounters a cowardly young man named Zenitsu Agatsuma. He is a fellow survivor from Final Selection and his sparrow asks Tanjiro to help keep him in line.
12,Tosun Pasa,1976,90,Comedy            ,8.9,,23861,,"Two traditionally rival Turkish families, ""Seferoglu""s and ""Tellioglu""s are competing for the ""Green Valley"". The winner will be determined by Daver Bey, who has a beautiful young daughter,...                See full summary »"
13,The Chaos Class Failed the Class,1975,91,Comedy            ,8.9,,23904,,A young and beautiful female teacher starts working in an all boys high school.
14,Inception,2010,148,Action,8.8,74        ,2403875,292.58,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
15,Fight Club,1999,139,Drama            ,8.8,66        ,2177480,37.03,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
16,The Lord of the Rings: The Fellowship of the Ring,2001,178,Action,8.8,92        ,1909996,315.54,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
17,Forrest Gump,1994,142,Drama,8.8,82        ,2128211,330.25,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
18,"The Good, the Bad and the Ugly",1966,178,Adventure,8.8,90        ,774917,6.10,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
19,The Lord of the Rings: The Two Towers,2002,179,Action,8.8,87        ,1698168,342.55,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
20,Jai Bhim,2021,164,Crime,8.8,,206139,,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
