,Movie_Name,Year_of_Release,C_Rating,Watch_Time_(min),Genre,Movie_Rating,Metascore,Votes,Gross_($M),Description
0,The Shawshank Redemption,1994,R,142,Drama            ,9.3,82        ,2735235,28.34,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion."
1,The Godfather,1972,R,175,"Crime, Drama            ",9.2,100        ,1902109,134.97,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.
2,The Dark Knight,2008,PG-13,152,"Action, Crime, Drama            ",9.0,84        ,2708419,534.86,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice."
3,Schindler's List,1993,R,195,"Biography, Drama, History            ",9.0,95        ,1380843,96.90,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis."
4,The Lord of the Rings: The Return of the King,2003,PG-13,201,"Action, Adventure, Drama            ",9.0,94        ,1881383,377.85,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.
5,12 Angry Men,1957,Approved,96,"Crime, Drama            ",9.0,97        ,809518,4.36,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.
6,The Godfather Part II,1974,R,202,"Crime, Drama            ",9.0,90        ,1296679,57.30,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate."
7,Pulp Fiction,1994,R,154,"Crime, Drama            ",8.9,95        ,2101929,107.93,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption."
8,Inception,2010,PG-13,148,"Action, Adventure, Sci-Fi            ",8.8,74        ,2404179,292.58,"A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster."
9,Fight Club,1999,R,139,Drama            ,8.8,66        ,2177808,37.03,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.
10,The Lord of the Rings: The Fellowship of the Ring,2001,PG-13,178,"Action, Adventure, Drama            ",8.8,92        ,1910207,315.54,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.
11,Forrest Gump,1994,PG-13,142,"Drama, Romance            ",8.8,82        ,2128491,330.25,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart."
12,"The Good, the Bad and the Ugly",1966,Approved,178,"Adventure, Western            ",8.8,90        ,774990,6.10,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.
13,The Lord of the Rings: The Two Towers,2002,PG-13,179,"Action, Adventure, Drama            ",8.8,87        ,1698350,342.55,"While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard."
14,Jai Bhim,2021,TV-MA,164,"Crime, Drama, Mystery            ",8.8,,206160,,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice."
15,777 Charlie,2022,,164,"Adventure, Comedy, Drama            ",8.8,,34505,,Dharma is stuck in a rut with his negative and lonely lifestyle and spends each day in the comfort of his loneliness. A pup named Charlie enters his life and gives him a new perspective towards it.
16,Rocketry: The Nambi Effect,2022,,157,"Biography, Drama            ",8.8,,52856,,"Based on the life of Indian Space Research Organization scientist Nambi Narayanan, who was framed for being a spy and arrested in 1994. Though free, he continues to fight for justice against the officials who falsely implicated him."
17,The Matrix,1999,R,136,"Action, Sci-Fi            ",8.7,73        ,1951328,171.48,"When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence."
18,Goodfellas,1990,R,145,"Biography, Crime, Drama            ",8.7,92        ,1187250,46.84,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate."
19,One Flew Over the Cuckoo's Nest,1975,R,133,Drama            ,8.7,84        ,1025777,112.00,"In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse."
20,Star Wars: Episode V - The Empire Strikes Back,1980,PG,124,"Action, Adventure, Fantasy            ",8.7,82        ,1316752,290.48,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett."
